symbol,name,last,iopv,discount_rate_pct,volume,amount,turnover_pct,bid1,ask1,data_date,updated_at,source,source_priority,ingested_at_utc,mid,bid_ask_spread_pct,last_iopv_premium_pct,mid_iopv_premium_pct
159501,纳指ETF嘉实,2.11,1.8749,-12.54,319337.0,67369116.1,0.47,2.11,2.111,2026-09-07,2026-09-07 15:34:54+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
159501,纳指ETF嘉实,2.11,1.8753,-12.52,,,0.0,,,2026-09-08,2026-09-08 09:49:51+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-08T01:54:04+00:00,,,12.515330880392472,
159513,纳斯达克100ETF大成,1.819,1.6675,-9.09,950880.0,172754557.2,2.06,1.819,1.82,2026-09-07,2026-09-07 15:34:06+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
159513,纳斯达克100ETF大成,1.819,1.6669,-9.12,154010.0,28010250.6,0.33,1.818,1.819,2026-09-08,2026-09-08 09:51:09+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-08T01:54:04+00:00,1.8185,0.05499037668407423,9.124722538844555,9.094726738256643
159632,纳斯达克ETF华安,2.479,2.267,-9.35,921335.0,228225350.621,1.84,2.479,2.48,2026-09-07,2026-09-07 15:34:30+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
159632,纳斯达克ETF华安,2.482,2.2673,-9.47,190461.0,47234773.2,0.38,2.482,2.483,2026-09-08,2026-09-08 09:53:48+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-08T01:54:04+00:00,2.4825,0.040281973816712585,9.469412958144051,9.491465619900307
159659,纳斯达克100ETF招商,2.365,2.1562,-9.68,570012.0,134505172.974,1.25,2.364,2.365,2026-09-07,2026-09-07 15:34:18+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
159659,纳斯达克100ETF招商,2.368,2.1567,-9.8,110006.0,26032008.7,0.24,2.367,2.368,2026-09-08,2026-09-08 09:53:48+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-08T01:54:04+00:00,2.3674999999999997,0.04223864836324773,9.79737562016043,9.774192052673069
159660,纳指ETF汇添富,2.385,2.1815,-9.33,457670.0,109023879.5,2.0,2.385,2.386,2026-09-07,2026-09-07 15:34:21+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
159660,纳指ETF汇添富,2.385,2.1819,-9.31,211556.0,50448294.3,0.92,2.384,2.385,2026-09-08,2026-09-08 09:53:48+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-08T01:54:04+00:00,2.3845,0.04193751310546822,9.308400934964922,9.285485127641046
159696,纳指ETF易方达,2.048,1.8581,-10.22,461866.0,94400559.2,1.61,2.048,2.049,2026-09-07,2026-09-07 15:34:06+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
159696,纳指ETF易方达,2.048,1.8586,-10.19,,,0.0,,,2026-09-08,2026-09-08 09:53:42+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-08T01:54:04+00:00,,,10.190465942106952,
159941,纳指ETF广发,1.668,1.4945,-11.61,3653112.0,609952446.659,1.62,1.668,1.669,2026-09-07,2026-09-07 15:34:51+08:00,akshare:eastmoney:fund_etf_spot_em,10,2026-09-07T16:03:21+00:00,,,,
